SubjectID,researchdate,BrandID,Brand,CategoryDelivery,daily_ots,score,threshold,reason
5764615010830211364,2025-08-11,281079,samsung galaxy,Смартфоны,214567.947,1.407284,152469.548181,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=9
3747000630363940378,2025-08-12,281079,samsung galaxy,Смартфоны,187511.67,1.22983,152469.548181,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=10
504410216844887574,2025-08-13,201581,chappi,Корм для собак,109011.808,1.31066,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
1873514497487928217,2025-08-13,214553,panasonic,Малая техника,131745.624,1.583991,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=6
5116096277414528843,2025-08-15,208375,jbl (аудиотехника),Аудиотехника,123712.256,1.11591,110862.231773,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=16
6557246880847484935,2025-08-16,215234,poco,Смартфоны,254126.656,1.647052,154291.826538,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=14
6710377279947371714,2025-08-16,213474,nike,Обувь,300430.112,2.389015,125754.821374,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=32
9089272665615484736,2025-08-17,216181,redmi,Смартфоны,188266.912,1.37534,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=4
1666343015431464640,2025-08-19,217082,samsung,Крупная техника,106679.26,1.282615,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
5053052694490078976,2025-08-21,221942,xiaomi,Смартфоны,186953.804,1.365748,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=4
2098689768527749313,2025-08-22,219749,timejump,Обувь,90162.016,1.084027,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
